CurrPricePershare,ActualInvestedAmount,VirtualInvestedAmount,CurrentPortfolioVAlue,tax,profit_loss,PAT 
320, 1811975, 4017043.75, 4792000, 154991.25, 2980025, 2825033.75
321, 1811975, 4017043.75, 4806975, 157986.25, 2995000, 2837013.75
322, 1811975, 4017043.75, 4821950, 160981.25, 3009975, 2848993.75
323, 1811975, 4017043.75, 4836925, 163976.25, 3024950, 2860973.75
324, 1811975, 4017043.75, 4851900, 166971.25, 3039925, 2872953.75
325, 1811975, 4017043.75, 4866875, 169966.25, 3054900, 2884933.75
326, 1811975, 4017043.75, 4881850, 172961.25, 3069875, 2896913.75
327, 1811975, 4017043.75, 4896825, 175956.25, 3084850, 2908893.75
328, 1811975, 4017043.75, 4911800, 178951.25, 3099825, 2920873.75
329, 1811975, 4017043.75, 4926775, 181946.25, 3114800, 2932853.75
330, 1811975, 4017043.75, 4941750, 184941.25, 3129775, 2944833.75
331, 1811975, 4017043.75, 4956725, 187936.25, 3144750, 2956813.75
332, 1811975, 4017043.75, 4971700, 190931.25, 3159725, 2968793.75
333, 1811975, 4017043.75, 4986675, 193926.25, 3174700, 2980773.75
334, 1811975, 4017043.75, 5001650, 196921.25, 3189675, 2992753.75
335, 1811975, 4017043.75, 5016625, 199916.25, 3204650, 3004733.75
336, 1811975, 4017043.75, 5031600, 202911.25, 3219625, 3016713.75
337, 1811975, 4017043.75, 5046575, 205906.25, 3234600, 3028693.75
338, 1811975, 4017043.75, 5061550, 208901.25, 3249575, 3040673.75
339, 1811975, 4017043.75, 5076525, 211896.25, 3264550, 3052653.75
340, 1811975, 4017043.75, 5091500, 214891.25, 3279525, 3064633.75
341, 1811975, 4017043.75, 5106475, 217886.25, 3294500, 3076613.75
342, 1811975, 4017043.75, 5121450, 220881.25, 3309475, 3088593.75
343, 1811975, 4017043.75, 5136425, 223876.25, 3324450, 3100573.75
344, 1811975, 4017043.75, 5151400, 226871.25, 3339425, 3112553.75
345, 1811975, 4017043.75, 5166375, 229866.25, 3354400, 3124533.75
346, 1811975, 4017043.75, 5181350, 232861.25, 3369375, 3136513.75
347, 1811975, 4017043.75, 5196325, 235856.25, 3384350, 3148493.75
348, 1811975, 4017043.75, 5211300, 238851.25, 3399325, 3160473.75
349, 1811975, 4017043.75, 5226275, 241846.25, 3414300, 3172453.75
350, 1811975, 4017043.75, 5241250, 244841.25, 3429275, 3184433.75
351, 1811975, 4017043.75, 5256225, 247836.25, 3444250, 3196413.75
352, 1811975, 4017043.75, 5271200, 250831.25, 3459225, 3208393.75
353, 1811975, 4017043.75, 5286175, 253826.25, 3474200, 3220373.75
354, 1811975, 4017043.75, 5301150, 256821.25, 3489175, 3232353.75
355, 1811975, 4017043.75, 5316125, 259816.25, 3504150, 3244333.75
356, 1811975, 4017043.75, 5331100, 262811.25, 3519125, 3256313.75
357, 1811975, 4017043.75, 5346075, 265806.25, 3534100, 3268293.75
358, 1811975, 4017043.75, 5361050, 268801.25, 3549075, 3280273.75
359, 1811975, 4017043.75, 5376025, 271796.25, 3564050, 3292253.75
360, 1811975, 4017043.75, 5391000, 274791.25, 3579025, 3304233.75
361, 1811975, 4017043.75, 5405975, 277786.25, 3594000, 3316213.75
362, 1811975, 4017043.75, 5420950, 280781.25, 3608975, 3328193.75
363, 1811975, 4017043.75, 5435925, 283776.25, 3623950, 3340173.75
364, 1811975, 4017043.75, 5450900, 286771.25, 3638925, 3352153.75
365, 1811975, 4017043.75, 5465875, 289766.25, 3653900, 3364133.75
366, 1811975, 4017043.75, 5480850, 292761.25, 3668875, 3376113.75
367, 1811975, 4017043.75, 5495825, 295756.25, 3683850, 3388093.75
368, 1811975, 4017043.75, 5510800, 298751.25, 3698825, 3400073.75
369, 1811975, 4017043.75, 5525775, 301746.25, 3713800, 3412053.75
370, 1811975, 4017043.75, 5540750, 304741.25, 3728775, 3424033.75
371, 1811975, 4017043.75, 5555725, 307736.25, 3743750, 3436013.75
372, 1811975, 4017043.75, 5570700, 310731.25, 3758725, 3447993.75
373, 1811975, 4017043.75, 5585675, 313726.25, 3773700, 3459973.75
374, 1811975, 4017043.75, 5600650, 316721.25, 3788675, 3471953.75
375, 1811975, 4017043.75, 5615625, 319716.25, 3803650, 3483933.75
376, 1811975, 4017043.75, 5630600, 322711.25, 3818625, 3495913.75
377, 1811975, 4017043.75, 5645575, 325706.25, 3833600, 3507893.75
378, 1811975, 4017043.75, 5660550, 328701.25, 3848575, 3519873.75
379, 1811975, 4017043.75, 5675525, 331696.25, 3863550, 3531853.75
380, 1811975, 4017043.75, 5690500, 334691.25, 3878525, 3543833.75
381, 1811975, 4017043.75, 5705475, 337686.25, 3893500, 3555813.75
382, 1811975, 4017043.75, 5720450, 340681.25, 3908475, 3567793.75
383, 1811975, 4017043.75, 5735425, 343676.25, 3923450, 3579773.75
384, 1811975, 4017043.75, 5750400, 346671.25, 3938425, 3591753.75
385, 1811975, 4017043.75, 5765375, 349666.25, 3953400, 3603733.75
386, 1811975, 4017043.75, 5780350, 352661.25, 3968375, 3615713.75
387, 1811975, 4017043.75, 5795325, 355656.25, 3983350, 3627693.75
388, 1811975, 4017043.75, 5810300, 358651.25, 3998325, 3639673.75
